ZCTA5,Total:,    Hispanic or Latino,    Not Hispanic or Latino:,            White alone,            Black or African American alone,            American Indian and Alaska Native alone,            Asian alone,            Native Hawaiian and Other Pacific Islander alone,            Some Other Race alone,            Population of two races:,            Population of three races:,            Population of four races:,            Population of five races:,            Population of six races:
84318,"5,296",327,"4,969","4,758",20,6,54,5,4,117,5,0,0,0
84319,"9,570","1,552","8,018","7,546",21,39,73,67,23,238,10,0,1,0
84320,"2,411",260,"2,151","2,074",5,9,8,5,7,42,1,0,0,0
84321,"49,550","7,337","42,213","38,348",587,269,"1,126",290,138,"1,366",89,0,0,0
84322,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84324,"1,128",42,"1,086","1,039",5,5,7,0,0,26,4,0,0,0
84325,"2,476",95,"2,381","2,277",12,13,9,4,11,52,3,0,0,0
84326,"2,420",134,"2,286","2,202",0,6,17,3,14,38,6,0,0,0
84327,947,32,915,898,2,0,0,0,5,9,1,0,0,0
84328,"1,829",46,"1,783","1,731",1,2,6,5,3,33,2,0,0,0
84329,222,9,213,203,0,1,0,0,2,7,0,0,0,0
84330,505,22,483,478,0,1,0,0,1,3,0,0,0,0
84331,348,21,327,313,1,2,0,0,6,5,0,0,0,0
84332,"8,238",429,"7,809","7,389",14,12,104,38,45,195,12,0,0,0
84333,"3,207",166,"3,041","2,974",3,9,0,7,7,40,1,0,0,0
84334,249,21,228,208,2,1,3,0,0,14,0,0,0,0
84335,"15,504","1,409","14,095","13,372",60,38,126,28,58,384,27,0,2,0
84336,281,33,248,238,1,2,2,0,2,3,0,0,0,0
84337,"13,880","1,502","12,378","11,704",36,68,162,23,27,333,21,4,0,0
84338,512,63,449,433,7,0,0,0,0,9,0,0,0,0
84339,"5,847",263,"5,584","5,344",40,24,22,8,19,120,6,1,0,0
84340,"3,834",272,"3,562","3,409",7,13,22,9,13,87,2,0,0,0
84341,"24,181","2,890","21,291","18,966",272,189,757,200,86,785,35,0,1,0
84401,"42,968","9,768","33,200","29,537",765,362,625,128,185,"1,459",135,4,0,0
84403,"37,847","7,865","29,982","26,718",597,211,624,120,194,"1,430",86,2,0,0
84404,"66,382","15,888","50,494","45,851",843,375,691,231,219,"2,121",161,2,0,0
84405,"34,285","4,853","29,432","27,016",393,104,488,193,63,"1,118",55,2,0,0
84408,367,54,313,222,33,4,18,8,26,2,0,0,0,0
84414,"32,471","2,943","29,528","27,731",156,86,370,65,156,915,49,0,0,0
84501,"13,111","1,692","11,419","10,687",40,157,47,26,34,410,17,1,0,0
84511,"4,603",275,"4,328","2,742",15,"1,322",10,40,8,180,8,3,0,0
84512,920,16,904,179,1,699,7,1,0,16,1,0,0,0
84513,"1,554",72,"1,482","1,439",0,9,7,1,2,16,8,0,0,0
84515,10,1,9,5,0,0,0,0,0,4,0,0,0,0
84516,186,7,179,177,0,1,0,0,0,1,0,0,0,0
84518,861,23,838,824,0,1,3,0,0,10,0,0,0,0
84520,"1,225",224,"1,001",940,1,7,2,0,7,40,2,2,0,0
84521,686,28,658,641,0,2,1,0,0,14,0,0,0,0
84522,336,12,324,297,0,7,1,0,1,18,0,0,0,0
84523,"1,625",43,"1,582","1,530",0,17,3,0,0,30,2,0,0,0
84525,968,296,672,646,0,1,7,0,2,14,2,0,0,0
84526,"3,888",449,"3,439","3,256",1,19,9,3,6,140,4,1,0,0
84528,"2,358",187,"2,171","2,086",2,10,13,6,5,44,3,2,0,0
84529,205,43,162,148,1,0,0,0,3,10,0,0,0,0
84530,560,28,532,505,0,7,2,1,0,15,2,0,0,0
84531,448,10,438,15,0,420,0,0,1,2,0,0,0,0
84532,"10,203","1,250","8,953","7,977",62,350,75,11,61,398,18,0,1,0
84533,105,6,99,85,0,6,2,1,0,5,0,0,0,0
84534,"2,653",42,"2,611",34,5,"2,534",0,1,0,31,5,1,0,0
84535,"2,323",312,"2,011","1,806",6,93,7,2,10,73,9,5,0,0
84536,"1,637",5,"1,632",33,5,"1,567",0,3,5,13,5,1,0,0
84537,"1,285",39,"1,246","1,200",0,7,4,0,6,27,2,0,0,0
84539,335,62,273,254,0,0,0,0,4,15,0,0,0,0
84540,70,10,60,44,3,2,3,0,1,5,2,0,0,0
84542,"1,629",202,"1,427","1,346",7,16,5,0,4,45,3,1,0,0
84601,"33,986","10,609","23,377","19,875",321,225,538,698,132,"1,444",129,15,0,0
84602,"2,366",189,"2,177","1,959",14,2,67,21,4,100,10,0,0,0
84604,"45,503","4,952","40,551","35,764",350,172,"1,323",484,151,"2,124",171,12,0,0
84606,"33,791","5,662","28,129","24,504",287,192,845,453,121,"1,575",142,10,0,0
84620,"1,169",35,"1,134","1,109",2,1,1,1,0,20,0,0,0,0
84621,137,8,129,129,0,0,0,0,0,0,0,0,0,0
84622,"1,527",181,"1,346","1,281",7,14,9,0,0,32,2,1,0,0
84623,307,129,178,173,0,1,0,1,2,1,0,0,0,0
84624,"5,836",941,"4,895","4,703",6,20,31,4,12,111,4,4,0,0
84626,338,152,186,180,0,1,0,0,0,3,2,0,0,0
84627,"5,882",800,"5,082","4,631",40,38,51,139,21,147,14,1,0,0
84628,697,46,651,631,2,0,2,3,1,8,2,2,0,0
84629,"2,583",70,"2,513","2,450",5,3,8,2,4,41,0,0,0,0
84630,265,48,217,203,0,0,0,2,0,12,0,0,0,0
84631,"2,985",542,"2,443","2,233",6,35,82,9,9,65,4,0,0,0
84632,"1,263",81,"1,182","1,134",0,6,0,4,1,37,0,0,0,0
84633,"1,082",232,850,827,0,3,0,1,0,19,0,0,0,0
84634,"3,630",518,"3,112","2,808",116,96,0,2,0,87,3,0,0,0
84635,764,130,634,619,1,3,0,0,0,10,1,0,0,0
84636,570,42,528,511,0,2,2,0,1,11,1,0,0,0
84637,688,45,643,580,2,36,8,0,1,15,0,1,0,0
84638,308,4,304,301,0,0,0,0,0,3,0,0,0,0
84639,998,56,942,924,0,0,0,0,3,14,1,0,0,0
84640,117,2,115,108,0,0,0,0,0,5,2,0,0,0
84642,"3,494",172,"3,322","3,131",13,25,4,26,18,101,4,0,0,0
84643,633,40,593,573,0,13,0,1,1,5,0,0,0,0
84644,381,9,372,354,0,0,11,0,1,5,1,0,0,0
84645,"3,117",82,"3,035","2,949",1,4,3,11,2,64,1,0,0,0
84646,"1,902",501,"1,401","1,313",0,6,3,40,2,36,0,1,0,0
84647,"4,549",346,"4,203","3,839",35,27,94,22,23,154,9,0,0,0
84648,"6,830",384,"6,446","6,198",8,33,25,27,4,146,5,0,0,0
84649,789,6,783,758,0,3,2,0,0,19,1,0,0,0
84651,"28,416","3,965","24,451","23,194",94,93,131,119,61,699,57,3,0,0
84652,850,25,825,793,0,3,1,3,0,25,0,0,0,0
84653,"11,103",558,"10,545","10,105",63,31,42,11,18,251,24,0,0,0
84654,"2,584",225,"2,359","2,288",2,4,2,6,0,57,0,0,0,0
84655,"15,287","2,007","13,280","12,682",27,62,23,50,30,364,37,5,0,0
84656,364,19,345,336,0,1,2,0,1,5,0,0,0,0
84657,452,21,431,420,0,0,0,1,0,10,0,0,0,0
84660,"45,959","6,089","39,870","37,276",209,162,245,336,184,"1,322",130,5,1,0
84662,"1,403",77,"1,326","1,268",3,0,3,7,7,37,0,1,0,0
84663,"35,647","5,729","29,918","27,551",185,214,270,332,114,"1,139",107,3,3,0
84664,"11,365",507,"10,858","10,327",33,28,51,35,40,315,26,3,0,0
84665,571,32,539,513,5,8,1,0,2,10,0,0,0,0
84667,423,41,382,371,0,3,2,1,0,5,0,0,0,0
84701,"8,883",428,"8,455","7,866",46,247,26,26,26,208,7,3,0,0
84710,162,3,159,139,1,8,1,0,0,9,1,0,0,0
84711,895,15,880,862,0,4,0,1,0,13,0,0,0,0
84712,190,8,182,179,0,0,0,0,0,1,1,1,0,0
84713,"4,316",574,"3,742","3,539",23,50,25,8,8,81,6,1,0,1
84714,828,221,607,545,2,22,8,3,5,20,2,0,0,0
84715,416,12,404,384,0,9,1,0,0,5,5,0,0,0
84716,317,9,308,285,0,4,7,0,0,11,1,0,0,0
84718,190,7,183,180,0,0,1,0,0,2,0,0,0,0
84719,195,16,179,163,0,2,4,0,0,10,0,0,0,0
84720,"23,607","1,884","21,723","19,755",269,318,374,150,64,751,38,4,0,0
84721,"27,329","2,941","24,388","22,418",101,582,204,79,78,878,46,2,0,0
84722,681,43,638,613,2,1,0,0,3,17,1,1,0,0
84723,552,106,446,426,0,2,0,0,0,15,3,0,0,0
84724,"1,213",89,"1,124","1,060",1,13,4,1,11,33,0,1,0,0
84725,"2,298",110,"2,188","2,125",7,15,9,2,2,28,0,0,0,0
84726,954,40,914,889,0,11,4,2,0,7,0,1,0,0
84728,131,23,108,105,0,0,1,0,1,1,0,0,0,0
84729,328,10,318,309,0,2,0,0,1,3,3,0,0,0
84730,554,12,542,525,0,2,0,0,1,13,1,0,0,0
84731,186,7,179,177,0,1,0,0,0,0,1,0,0,0
84732,72,0,72,70,0,0,0,0,0,2,0,0,0,0
84733,127,5,122,115,1,1,0,0,1,4,0,0,0,0
84734,192,13,179,166,0,5,0,1,1,5,1,0,0,0
84735,262,3,259,255,0,0,0,0,0,4,0,0,0,0
