People QuickFacts,"Population, 2013 estimate    ","Population, 2010 (April 1) estimates base    ","Population, percent change, April 1, 2010 to July 1, 2013    ","Population, 2010    ","Persons under 5 years, percent, 2013    ","Persons under 18 years, percent, 2013    ","Persons 65 years and over, percent, 2013    ","Female persons, percent, 2013    ","White alone, percent, 2013 (a)    ","Black or African American alone, percent, 2013 (a)    ","American Indian and Alaska Native alone, percent, 2013 (a)    ","Asian alone, percent, 2013 (a)    ","Native Hawaiian and Other Pacific Islander alone, percent, 2013 (a)    ","Two or More Races, percent, 2013    ","Hispanic or Latino, percent, 2013 (b)    ","White alone, not Hispanic or Latino, percent, 2013    ","Living in same house 1 year & over, percent, 2009-2013    ","Foreign born persons, percent, 2009-2013    ","Language other than English spoken at home, pct age 5+, 2009-2013    ","High school graduate or higher, percent of persons age 25+, 2009-2013    ","Bachelor's degree or higher, percent of persons age 25+, 2009-2013    ","Veterans, 2009-2013    ","Mean travel time to work (minutes), workers age 16+, 2009-2013    ","Housing units, 2013    ","Homeownership rate, 2009-2013    ","Housing units in multi-unit structures, percent, 2009-2013    ","Median value of owner-occupied housing units, 2009-2013    ","Households, 2009-2013    ","Persons per household, 2009-2013    ","Per capita money income in past 12 months (2013 dollars), 2009-2013    ","Median household income, 2009-2013    ","Persons below poverty level, percent, 2009-2013    ","Private nonfarm establishments, 2012    ","Private nonfarm employment, 2012    ","Private nonfarm employment, percent change, 2011-2012    ","Nonemployer establishments, 2012    ","Total number of firms, 2007    ","Black-owned firms, percent, 2007    ","American Indian- and Alaska Native-owned firms, percent, 2007    ","Asian-owned firms, percent, 2007    ","Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007    ","Hispanic-owned firms, percent, 2007    ","Women-owned firms, percent, 2007    ","Manufacturers shipments, 2007 ($1000)    ","Merchant wholesaler sales, 2007 ($1000)    ","Retail sales, 2007 ($1000)    ","Retail sales per capita, 2007    ","Accommodation and food services sales, 2007 ($1000)    ","Building permits, 2012    ","Land area in square miles, 2010    ","Persons per square mile, 2010    ",FIPS Code    
Sanpete County,28243,27822,2.4,1.5,6.6,27.9,12.5,47.7,94.5,1,1.6,0.8,0.6,1.6,9.6,86.3,80.1,4.8,9.9,88.4,20.8,1729,21,10367,76.2,6.1,164100.00,7781,3.22,17811.00,48369.00,15.7,398,4537,12.6,1721,2595,F,F,F,F,S,S,0,"31,160",196917,8016.00,8332,42,1590.15,17.5,39
Summit County,38453,36324,7.7,5.9,6.2,26.6,9.2,48.7,95.6,0.7,0.6,1.5,0.2,1.5,11.3,85.2,87.1,10.6,12.8,93.1,48.7,1912,24.1,26985,74.4,30.3,485700.00,13627,2.72,42462.00,83336.00,8.5,2144,26100,4,5423,6422,F,F,S,F,2.6%,25.3%,0,"165,809",659852,18614.00,228891,226,1871.71,19.4,43
Tooele County,60718,58218,5.8,4.3,8.8,34.9,8.2,49.5,94.4,0.8,1.3,0.9,0.5,2.1,11.9,83.7,85,3.7,9,92,20.4,3756,29.5,20038,75.2,9.8,177500.00,18281,3.2,22252.00,61412.00,8.7,758,11037,3.7,2574,2778,F,F,S,F,S,38.3%,,"73,602",503618,9204.00,35159,313,6941.35,8.4,45
Uintah County,35690,32586,13.1,9.5,9.9,33.5,9.1,49.1,88.6,0.5,7.8,0.6,0.4,2.1,7.9,82.1,85.1,3.7,8.6,86.2,16.2,1934,19,12839,75,11.2,187900.00,11007,3.04,23805.00,62067.00,11.6,1166,11090,-0.6,1775,2753,F,0.9%,F,F,2.1%,27.6%,0,D,461448,15958.00,46512,321,4479.69,7.3,47
Utah County,551926,516564,8.6,6.8,10.4,35,7,49.7,93.7,0.7,0.8,1.6,0.8,2.4,11,83.6,78.1,7.2,13.1,93.6,36.5,17282,21.1,154064,67.9,22.2,222100.00,143005,3.61,20774.00,60196.00,14,11374,170323,4.1,39431,45490,0.5%,S,1.1%,0.4%,3.5%,24.2%,,"2,424,955",5772180,11254.00,451687,3390,2003.45,257.8,49
Wasatch County,26563,23530,17.8,12.9,8.2,33.4,9.4,48.7,96,0.4,0.9,1.1,0.2,1.4,12.9,84.4,86.4,10.2,15,89.6,33.4,853,23.9,11225,75.5,10.4,307600.00,7602,3.21,25777.00,65050.00,9.5,807,5345,6.4,2362,3116,F,F,S,F,5.1%,19.1%,0,D,228355,11197.00,38846,395,1175.5,20,51
Washington County,147719,138115,10,7,7.6,28.8,18.9,50.6,93.8,0.8,1.7,0.8,0.9,1.9,9.9,85.4,81.6,5.9,8.5,91.7,26.4,10729,18.1,60515,69.1,13.7,212900.00,46826,2.99,21472.00,49279.00,15.3,4195,40096,6,11837,14277,F,S,0.8%,F,2.5%,21.3%,609632,"510,839",2087828,15781.00,254511,1885,2426.36,56.9,53
Wayne County,2732,2778,-2,-1.7,6.2,27.8,18.1,49.8,96.3,0.1,1,0.8,0.3,1.5,5.4,91.9,89.8,2.4,3.8,95.7,25.2,205,14.4,1601,83.9,6.2,173500.00,970,2.8,19858.00,41458.00,18.2,81,632,-3.1,301,,S,S,S,S,S,S,0,0,27847,11197.00,7736,15,2460.68,1.1,55
Weber County,238422,231236,4,3.1,8.3,29.3,10.9,49.8,92.9,1.6,1.2,1.5,0.3,2.4,17.4,77.4,84.7,7.1,13.2,88.8,22.7,16813,21.4,87105,71.6,20.6,170000.00,79525,2.9,23106.00,54974.00,12.8,5007,75494,5.5,12674,17724,0.9%,S,S,F,4.8%,26.7%,,"2,218,165",2810553,12715.00,261152,703,576.08,401.4,57
Utah,2900872,2763885,5,2763885,8.8,30.9,9.8,49.7,91.6,1.3,1.5,2.3,1,2.3,13.4,79.7,82.8,8.2,14.3,90.9,30.3,143771,21.4,1006106,70.1,21.4,212800.00,886770,3.12,23873.00,58821.00,12.7,70454,1070986,4.1,199393,246393,0.5%,0.6%,1.9%,0.3%,3.7%,24.9%,42431657,"25,417,368",36574240,13730.00,3980570,13007,82169.62,33.6,49
