Timestamp_UTC,Latitude_ddeg,Longitude_ddeg,Elevation_m,GPS_Speed_m/s,GPS_Direction_deg,GPS_RMC_Valid_binary,Battery_Voltage_volts,Bus_Box_Temperature_degC,Bus_Top_Temperature_degC,Bus_Top_Relative_Humidity_%,ES405_PM1_Concentration_ug/m3,ES405_PM2.5_Concentration_ug/m3,ES405_PM4_Concentration_ug/m3,ES405_PM10_Concentration_ug/m3,ES405_Air_Flow_Rate_L/min,ES405_Internal_Air_Temperature_degC,ES405_Internal_Relative_Humidity_%,ES405_Internal_Air_Pressure_hpa,ES405_Error_Code_code,2B_Ozone_Concentration_ppbv,2B_Air_Flow_Rate_L/min,2B_Internal_Air_Temperature_degC,2B_Internal_Air_Pressure_hpa,PM2.5_Data_Flagged_binary,Ozone_Data_Flagged_binary,GPS_Data_Flagged_binary,Time_Tuple,Date,Year,Month,Day_of_Year,Day_of_Month,Minute,Hour,Transit_ID,AQI,PM2.5_Category,Meso_West_Category
2023-08-01 10:31:00,40.761608,-111.910789,1127.1,0.0,0.0,1.0,13.31,28.57,26.55,36.76,2.6,3.1,3.6,3.8,1.0,28.28,30.8,656.4,0.0,41.8,1.99,30.0,842.3,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=8, tm_mday=1, tm_hour=10, tm_min=31, tm_sec=0, tm_wday=1, tm_yday=213, tm_isdst=-1)",2023-08-01,2023,8,213,1,31,10,BUS04,Good,< 12.00,2.00 - 4.00
2023-08-01 10:51:00,40.761654,-111.910492,1238.4,0.0,15.3,1.0,13.27,28.24,26.3,37.95,2.5,3.0,3.5,3.9,1.0,29.28,27.1,656.5,0.0,42.7,2.05,35.9,842.7,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=8, tm_mday=1, tm_hour=10, tm_min=51, tm_sec=0, tm_wday=1, tm_yday=213, tm_isdst=-1)",2023-08-01,2023,8,213,1,51,10,BUS04,Good,< 12.00,2.00 - 4.00
2023-08-01 11:11:00,40.762875,-111.91153,1289.7,2.21,274.0,1.0,13.28,28.12,26.23,37.37,2.7,4.1,6.8,9.0,1.0,29.61,26.8,656.4,0.0,42.9,2.07,37.8,842.7,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=8, tm_mday=1, tm_hour=11, tm_min=11, tm_sec=0, tm_wday=1, tm_yday=213, tm_isdst=-1)",2023-08-01,2023,8,213,1,11,11,BUS04,Good,< 12.00,4.00 - 6.00
2023-08-01 11:31:00,40.692902,-111.971893,1306.5,10.75,269.6,1.0,13.25,27.71,25.12,45.45,2.0,2.9,3.8,5.1,1.0,29.89,28.6,655.6,0.0,39.2,2.06,38.3,841.7,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=8, tm_mday=1, tm_hour=11, tm_min=31, tm_sec=0, tm_wday=1, tm_yday=213, tm_isdst=-1)",2023-08-01,2023,8,213,1,31,11,BUS04,Good,< 12.00,2.00 - 4.00
2023-08-01 11:51:00,40.726212,-111.959747,1287.1,10.19,67.2,1.0,13.28,27.23,25.62,38.61,2.7,3.5,4.4,5.6,1.0,29.72,27.7,656.3,0.0,32.3,2.07,38.2,842.7,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=8, tm_mday=1, tm_hour=11, tm_min=51, tm_sec=0, tm_wday=1, tm_yday=213, tm_isdst=-1)",2023-08-01,2023,8,213,1,51,11,BUS04,Good,< 12.00,2.00 - 4.00
2023-08-01 12:11:00,40.760288,-111.916809,1284.7,0.0,356.4,1.0,13.27,27.04,25.43,39.34,2.5,3.0,3.9,4.8,1.0,29.5,27.1,656.8,0.0,43.0,2.05,38.0,843.6,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=8, tm_mday=1, tm_hour=12, tm_min=11, tm_sec=0, tm_wday=1, tm_yday=213, tm_isdst=-1)",2023-08-01,2023,8,213,1,11,12,BUS04,Good,< 12.00,2.00 - 4.00
2023-08-01 12:31:00,40.763557,-111.909431,1286.8,0.0,175.3,1.0,13.31,26.85,25.48,39.3,2.5,3.0,3.6,4.1,1.0,29.28,28.2,656.8,0.0,36.6,2.08,38.0,843.2,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=8, tm_mday=1, tm_hour=12, tm_min=31, tm_sec=0, tm_wday=1, tm_yday=213, tm_isdst=-1)",2023-08-01,2023,8,213,1,31,12,BUS04,Good,< 12.00,2.00 - 4.00
2023-08-01 12:51:00,40.760723,-111.915901,1278.5,8.13,269.3,1.0,13.31,26.59,25.04,40.86,3.1,3.8,4.8,6.1,1.0,29.11,28.5,657.0,0.0,30.5,2.07,37.8,843.6,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=8, tm_mday=1, tm_hour=12, tm_min=51, tm_sec=0, tm_wday=1, tm_yday=213, tm_isdst=-1)",2023-08-01,2023,8,213,1,51,12,BUS04,Good,< 12.00,2.00 - 4.00
2023-08-01 13:11:00,40.731907,-111.958099,1291.4,14.82,180.4,1.0,13.25,26.66,25.34,47.1,2.3,3.6,5.5,7.9,1.0,29.28,29.5,656.7,0.0,36.3,2.1,37.7,842.9,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=8, tm_mday=1, tm_hour=13, tm_min=11, tm_sec=0, tm_wday=1, tm_yday=213, tm_isdst=-1)",2023-08-01,2023,8,213,1,11,13,BUS04,Good,< 12.00,2.00 - 4.00
2023-08-01 13:31:00,40.704105,-111.977097,1301.6,0.0,175.7,1.0,13.27,26.5,24.63,50.55,2.4,3.9,6.5,8.4,1.0,29.5,28.4,656.2,0.0,20.6,2.09,37.6,842.5,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=8, tm_mday=1, tm_hour=13, tm_min=31, tm_sec=0, tm_wday=1, tm_yday=213, tm_isdst=-1)",2023-08-01,2023,8,213,1,31,13,BUS04,Good,< 12.00,2.00 - 4.00
