Timestamp_UTC,Latitude_ddeg,Longitude_ddeg,Elevation_m,GPS_Speed_m/s,GPS_Direction_deg,GPS_RMC_Valid_binary,Battery_Voltage_volts,Bus_Box_Temperature_degC,Bus_Top_Temperature_degC,Bus_Top_Relative_Humidity_%,ES642_PM2.5_Concentration_ug/m3,ES642_Air_Flow_Rate_L/min,ES642_Internal_Air_Temperature_degC,ES642_Internal_Relative_Humidity_%,ES642_Internal_Air_Pressure_hpa,ES642_Error_Code_code,2B_Ozone_Concentration_ppbv,2B_Air_Flow_Rate_L/min,2B_Internal_Air_Temperature_degC,2B_Internal_Air_Pressure_hpa,2B405_NO_Concentration_ppbv,2B405_NO2_Concentration_ppbv,2B405_NOX_Concentration_ppbv,2B405_Internal_Air_Temperature_degC,2B405_Internal_Air_Pressure_hpa,2B405_Air_Flow_Rate_L/min,2B405_Cell_O3_Flow_Rate_mL/min,PM2.5_Data_Flagged_binary,Ozone_Data_Flagged_binary,GPS_Data_Flagged_binary,Time_Tuple,Date,Year,Month,Day_of_Year,Day_of_Month,Minute,Hour,Transit_ID,AQI,PM2.5_Category,Meso_West_Category
2022-12-02 20:04:30,40.736889,-111.916817,1281.8,-9999.0,-9999.0,-9999.0,13.9,9.03,4.38,39.01,1.0,2.0,6.0,24.0,879.3,0.0,41.0,2.14,23.4,834.2,17.9,50.9,68.8,13.5,810.2,1.66,135.1,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=2, tm_hour=20, tm_min=4, tm_sec=30, tm_wday=4, tm_yday=336, tm_isdst=-1)",2022-12-02,2022,12,336,2,4,20,BUS02,Good,< 12.00,< 2.00
2022-12-02 20:06:10,40.749477,-111.916786,1284.2,-9999.0,-9999.0,-9999.0,13.9,9.04,4.56,39.58,1.0,2.0,6.22,24.0,879.5,0.0,34.9,2.16,23.4,834.5,123.5,4.6,128.1,13.5,810.3,1.67,134.1,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=2, tm_hour=20, tm_min=6, tm_sec=10, tm_wday=4, tm_yday=336, tm_isdst=-1)",2022-12-02,2022,12,336,2,6,20,BUS02,Good,< 12.00,< 2.00
2022-12-02 20:07:50,40.753231,-111.913864,1287.3,-9999.0,-9999.0,-9999.0,13.9,9.04,4.06,42.23,1.0,2.0,6.11,25.0,879.5,0.0,37.1,2.15,23.5,834.7,119.7,-26.7,92.9,13.5,810.4,1.68,134.7,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=2, tm_hour=20, tm_min=7, tm_sec=50, tm_wday=4, tm_yday=336, tm_isdst=-1)",2022-12-02,2022,12,336,2,7,20,BUS02,Good,< 12.00,< 2.00
2022-12-02 20:09:30,40.75618,-111.916801,1285.9,-9999.0,-9999.0,-9999.0,13.9,9.05,3.61,43.53,1.0,2.0,5.89,24.0,879.2,0.0,32.3,2.16,23.5,834.5,120.1,-25.7,94.5,13.5,810.3,1.66,138.1,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=2, tm_hour=20, tm_min=9, tm_sec=30, tm_wday=4, tm_yday=336, tm_isdst=-1)",2022-12-02,2022,12,336,2,9,20,BUS02,Good,< 12.00,< 2.00
2022-12-02 20:11:10,40.760521,-111.916687,1283.9,-9999.0,-9999.0,-9999.0,13.9,9.04,3.43,43.69,1.0,2.0,5.78,25.0,879.7,0.0,34.3,2.16,23.5,834.5,107.1,-15.0,92.1,13.5,810.6,1.67,134.7,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=2, tm_hour=20, tm_min=11, tm_sec=10, tm_wday=4, tm_yday=336, tm_isdst=-1)",2022-12-02,2022,12,336,2,11,20,BUS02,Good,< 12.00,< 2.00
2022-12-02 20:12:50,40.760548,-111.905396,1284.7,-9999.0,-9999.0,-9999.0,13.91,9.03,3.51,43.63,2.0,2.0,5.72,25.0,878.9,0.0,40.2,2.16,23.5,834.1,55.0,-94.8,-39.9,13.6,809.6,1.68,139.0,0.0,0,1,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=2, tm_hour=20, tm_min=12, tm_sec=50, tm_wday=4, tm_yday=336, tm_isdst=-1)",2022-12-02,2022,12,336,2,12,20,BUS02,Good,< 12.00,2.00 - 4.00
2022-12-02 20:14:30,40.762676,-111.902473,1291.9,-9999.0,-9999.0,-9999.0,13.91,9.01,3.51,43.92,1.0,2.0,5.78,25.0,878.9,0.0,39.1,2.15,23.5,834.1,73.8,-1.1,72.7,13.6,810.0,1.66,135.8,0.0,0,1,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=2, tm_hour=20, tm_min=14, tm_sec=30, tm_wday=4, tm_yday=336, tm_isdst=-1)",2022-12-02,2022,12,336,2,14,20,BUS02,Good,< 12.00,< 2.00
2022-12-02 20:16:10,40.765068,-111.905151,1288.7,-9999.0,-9999.0,-9999.0,13.91,9.01,3.85,43.08,2.0,2.0,5.78,25.0,879.0,0.0,37.6,2.15,23.5,834.1,-68.2,-12.7,-80.8,13.6,810.1,1.67,134.9,0.0,0,1,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=2, tm_hour=20, tm_min=16, tm_sec=10, tm_wday=4, tm_yday=336, tm_isdst=-1)",2022-12-02,2022,12,336,2,16,20,BUS02,Good,< 12.00,2.00 - 4.00
2022-12-02 20:17:50,40.764542,-111.909584,1290.4,-9999.0,-9999.0,-9999.0,13.91,9.02,4.0,41.87,1.0,2.0,5.78,25.0,879.2,0.0,36.4,2.16,23.5,834.3,7.6,45.6,53.2,13.6,810.2,1.68,135.0,0.0,0,1,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=2, tm_hour=20, tm_min=17, tm_sec=50, tm_wday=4, tm_yday=336, tm_isdst=-1)",2022-12-02,2022,12,336,2,17,20,BUS02,Good,< 12.00,< 2.00
2022-12-02 20:19:30,40.763683,-111.909523,1293.5,-9999.0,-9999.0,-9999.0,13.91,9.06,4.25,41.41,1.0,2.0,5.89,24.0,879.3,0.0,35.9,2.16,23.5,834.4,3.9,38.4,42.3,13.6,810.3,1.66,135.9,0.0,0,1,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=2, tm_hour=20, tm_min=19, tm_sec=30, tm_wday=4, tm_yday=336, tm_isdst=-1)",2022-12-02,2022,12,336,2,19,20,BUS02,Good,< 12.00,< 2.00
