Timestamp_UTC,Latitude_ddeg,Longitude_ddeg,Elevation_m,GPS_Speed_m/s,GPS_Direction_deg,GPS_RMC_Valid_binary,Battery_Voltage_volts,Bus_Box_Temperature_degC,Bus_Top_Temperature_degC,Bus_Top_Relative_Humidity_%,ES405_PM1_Concentration_ug/m3,ES405_PM2.5_Concentration_ug/m3,ES405_PM4_Concentration_ug/m3,ES405_PM10_Concentration_ug/m3,ES405_Air_Flow_Rate_L/min,ES405_Internal_Air_Temperature_degC,ES405_Internal_Relative_Humidity_%,ES405_Internal_Air_Pressure_hpa,ES405_Error_Code_code,2B_Ozone_Concentration_ppbv,2B_Air_Flow_Rate_L/min,2B_Internal_Air_Temperature_degC,2B_Internal_Air_Pressure_hpa,PM2.5_Data_Flagged_binary,Ozone_Data_Flagged_binary,GPS_Data_Flagged_binary,Time_Tuple,Date,Year,Month,Day_of_Year,Day_of_Month,Minute,Hour,Transit_ID,AQI,PM2.5_Category,Meso_West_Category
2023-09-01 18:44:00,40.760365,-111.910645,-9999.0,0.0,0.0,1.0,13.33,26.3,24.6,40.52,1.0,3.3,9.4,16.8,1.0,25.61,35.6,654.9,0.0,61.2,1.98,27.6,840.6,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=1, tm_hour=18, tm_min=44, tm_sec=0, tm_wday=4, tm_yday=244, tm_isdst=-1)",2023-09-01,2023,9,244,1,44,18,BUS04,Good,< 12.00,2.00 - 4.00
2023-09-01 19:04:00,40.764534,-111.909966,1287.1,0.0,161.7,1.0,13.34,25.88,24.01,39.82,0.9,2.6,6.8,10.7,1.0,27.0,29.1,654.7,0.0,40.9,2.08,33.7,840.8,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=1, tm_hour=19, tm_min=4, tm_sec=0, tm_wday=4, tm_yday=244, tm_isdst=-1)",2023-09-01,2023,9,244,1,4,19,BUS04,Good,< 12.00,2.00 - 4.00
2023-09-01 19:24:00,40.764523,-111.909966,1289.7,0.0,161.7,1.0,13.34,25.5,23.43,40.91,1.1,4.1,12.4,23.3,1.0,27.28,30.0,654.7,0.0,43.5,2.09,35.5,841.0,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=1, tm_hour=19, tm_min=24, tm_sec=0, tm_wday=4, tm_yday=244, tm_isdst=-1)",2023-09-01,2023,9,244,1,24,19,BUS04,Good,< 12.00,4.00 - 6.00
2023-09-01 19:44:00,40.764317,-111.90937,1284.8,4.37,308.8,1.0,13.32,24.95,22.7,43.1,0.7,2.4,6.2,11.2,1.0,27.39,29.2,654.7,0.0,41.1,2.09,35.8,841.0,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=1, tm_hour=19, tm_min=44, tm_sec=0, tm_wday=4, tm_yday=244, tm_isdst=-1)",2023-09-01,2023,9,244,1,44,19,BUS04,Good,< 12.00,2.00 - 4.00
2023-09-01 20:04:00,40.767036,-111.850327,1412.2,10.91,90.0,1.0,13.36,24.52,22.28,48.04,1.2,4.3,10.0,13.3,1.0,27.28,27.5,646.2,0.0,35.9,2.13,35.8,828.8,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=1, tm_hour=20, tm_min=4, tm_sec=0, tm_wday=4, tm_yday=244, tm_isdst=-1)",2023-09-01,2023,9,244,1,4,20,BUS04,Good,< 12.00,4.00 - 6.00
2023-09-01 20:24:00,40.766907,-111.87117,1346.0,0.0,8.2,1.0,13.42,23.34,21.25,59.31,0.5,1.0,2.0,2.5,1.0,27.0,28.6,652.2,0.0,39.9,2.1,35.3,837.6,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=1, tm_hour=20, tm_min=24, tm_sec=0, tm_wday=4, tm_yday=244, tm_isdst=-1)",2023-09-01,2023,9,244,1,24,20,BUS04,Good,< 12.00,< 2.00
2023-09-01 20:55:00,40.763611,-111.909416,1284.7,0.0,161.4,1.0,13.43,23.45,23.91,41.25,0.6,1.2,2.6,4.6,1.0,25.89,27.3,655.3,0.0,38.8,2.06,31.8,841.3,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=1, tm_hour=20, tm_min=55, tm_sec=0, tm_wday=4, tm_yday=244, tm_isdst=-1)",2023-09-01,2023,9,244,1,55,20,BUS04,Good,< 12.00,< 2.00
2023-09-01 21:15:00,40.761501,-111.910805,1289.0,0.0,151.6,1.0,13.4,24.03,23.45,41.97,0.3,0.8,1.7,2.6,1.0,26.39,27.8,655.0,0.0,-9999.0,2.07,34.0,840.9,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=1, tm_hour=21, tm_min=15, tm_sec=0, tm_wday=4, tm_yday=244, tm_isdst=-1)",2023-09-01,2023,9,244,1,15,21,BUS04,Good,< 12.00,< 2.00
2023-09-02 02:05:00,40.761665,-111.910538,1257.6,0.0,0.0,1.0,13.42,24.33,22.95,46.78,0.7,0.9,1.3,1.8,1.0,24.22,40.7,654.3,0.0,-9999.0,1.98,26.3,839.6,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=2, tm_hour=2, tm_min=5, tm_sec=0, tm_wday=5, tm_yday=245, tm_isdst=-1)",2023-09-02,2023,9,245,2,5,2,BUS04,Good,< 12.00,< 2.00
2023-09-02 03:12:00,40.761467,-111.91037,1264.0,0.51,155.7,1.0,13.39,24.23,22.88,48.89,0.8,1.1,1.6,1.9,1.0,24.5,37.4,654.9,0.0,33.4,2.02,27.2,840.9,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=2, tm_hour=3, tm_min=12, tm_sec=0, tm_wday=5, tm_yday=245, tm_isdst=-1)",2023-09-02,2023,9,245,2,12,3,BUS04,Good,< 12.00,< 2.00
