Timestamp_UTC,Latitude_ddeg,Longitude_ddeg,Elevation_m,Battery_Voltage_volts,Train_Box_Temperature_degC,Train_Top_Temperature_degC,Train_Top_Relative_Humidity_%,ES642_PM2.5_Concentration_ug/m3,ES642_Air_Flow_Rate_L/min,ES642_Internal_Air_Temperature_degC,ES642_Internal_Relative_Humidity_%,ES642_Internal_Air_Pressure_hpa,ES642_Error_Code_code,2B_Ozone_Concentration_ppbv,2B_Air_Flow_Rate_L/min,2B_Internal_Air_Temperature_degC,2B_Internal_Air_Pressure_hpa,PM2.5_Data_Flagged_binary,Ozone_Data_Flagged_binary,Time_Tuple,Date,Year,Month,Day_of_Year,Day_of_Month,Minute,Hour,Transit_ID,AQI,PM2.5_Category,Meso_West_Category
2023-06-01 00:00:00,40.724216,-111.896797,1293.4,13.27,30.19,27.55,16.26,1.0,2.0,25.89,15.0,864.0,0.0,48.3,1.89,42.5,819.9,0,0,"time.struct_time(tm_year=2023, tm_mon=6, tm_mday=1, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=152, tm_isdst=-1)",2023-06-01,2023,6,152,1,0,0,TRX01,Good,< 12.00,< 2.00
2023-06-01 00:01:00,40.730698,-111.89682,1292.8,13.27,30.22,27.68,18.36,2.0,2.0,25.78,15.0,864.0,0.0,53.9,1.89,42.5,819.7,0,0,"time.struct_time(tm_year=2023, tm_mon=6, tm_mday=1, tm_hour=0, tm_min=1, tm_sec=0, tm_wday=3, tm_yday=152, tm_isdst=-1)",2023-06-01,2023,6,152,1,1,0,TRX01,Good,< 12.00,2.00 - 4.00
2023-06-01 00:02:00,40.741638,-111.896713,1292.1,13.27,30.22,27.62,15.58,1.0,2.0,26.11,15.0,864.2,0.0,56.1,1.89,42.5,819.9,0,0,"time.struct_time(tm_year=2023, tm_mon=6, tm_mday=1, tm_hour=0, tm_min=2, tm_sec=0, tm_wday=3, tm_yday=152, tm_isdst=-1)",2023-06-01,2023,6,152,1,2,0,TRX01,Good,< 12.00,< 2.00
2023-06-01 00:03:00,40.743267,-111.896751,1290.2,13.27,30.22,27.58,15.48,1.0,2.0,26.11,14.0,864.4,0.0,52.3,1.89,42.5,820.1,0,0,"time.struct_time(tm_year=2023, tm_mon=6, tm_mday=1, tm_hour=0, tm_min=3, tm_sec=0, tm_wday=3, tm_yday=152, tm_isdst=-1)",2023-06-01,2023,6,152,1,3,0,TRX01,Good,< 12.00,< 2.00
2023-06-01 00:04:00,40.748825,-111.896774,1288.9,13.27,30.26,27.38,15.04,2.0,2.0,26.5,14.0,864.2,0.0,64.8,1.89,42.5,820.2,0,0,"time.struct_time(tm_year=2023, tm_mon=6, tm_mday=1, tm_hour=0, tm_min=4, tm_sec=0, tm_wday=3, tm_yday=152, tm_isdst=-1)",2023-06-01,2023,6,152,1,4,0,TRX01,Good,< 12.00,2.00 - 4.00
2023-06-01 00:05:00,40.751034,-111.896729,1292.0,13.27,30.26,27.55,15.92,2.0,2.0,26.28,14.0,864.4,0.0,48.9,1.89,42.6,820.2,0,0,"time.struct_time(tm_year=2023, tm_mon=6, tm_mday=1, tm_hour=0, tm_min=5, tm_sec=0, tm_wday=3, tm_yday=152, tm_isdst=-1)",2023-06-01,2023,6,152,1,5,0,TRX01,Good,< 12.00,2.00 - 4.00
2023-06-01 00:06:00,40.754131,-111.895897,1293.8,13.27,30.26,27.34,15.89,3.0,2.0,26.28,14.0,864.3,0.0,44.9,1.89,42.6,820.1,0,0,"time.struct_time(tm_year=2023, tm_mon=6, tm_mday=1, tm_hour=0, tm_min=6, tm_sec=0, tm_wday=3, tm_yday=152, tm_isdst=-1)",2023-06-01,2023,6,152,1,6,0,TRX01,Good,< 12.00,2.00 - 4.00
2023-06-01 00:07:00,40.754166,-111.891655,1292.6,13.27,30.29,27.14,16.77,4.0,2.0,26.5,14.0,864.2,0.0,47.5,1.89,42.6,819.9,0,0,"time.struct_time(tm_year=2023, tm_mon=6, tm_mday=1, tm_hour=0, tm_min=7, tm_sec=0, tm_wday=3, tm_yday=152, tm_isdst=-1)",2023-06-01,2023,6,152,1,7,0,TRX01,Good,< 12.00,4.00 - 6.00
2023-06-01 00:08:00,40.755432,-111.891006,1292.1,13.27,30.29,27.21,16.57,3.0,2.0,26.61,15.0,864.0,0.0,39.0,1.89,42.6,819.9,0,0,"time.struct_time(tm_year=2023, tm_mon=6, tm_mday=1, tm_hour=0, tm_min=8, tm_sec=0, tm_wday=3, tm_yday=152, tm_isdst=-1)",2023-06-01,2023,6,152,1,8,0,TRX01,Good,< 12.00,2.00 - 4.00
2023-06-01 00:09:00,40.756565,-111.890984,1297.5,13.27,30.33,27.34,15.85,2.0,2.0,26.5,14.0,864.0,0.0,56.3,1.89,42.6,819.8,0,0,"time.struct_time(tm_year=2023, tm_mon=6, tm_mday=1, tm_hour=0, tm_min=9, tm_sec=0, tm_wday=3, tm_yday=152, tm_isdst=-1)",2023-06-01,2023,6,152,1,9,0,TRX01,Good,< 12.00,2.00 - 4.00
