Timestamp_UTC,Latitude_ddeg,Longitude_ddeg,Elevation_m,Battery_Voltage_volts,Train_Box_Temperature_degC,Train_Top_Relative_Humidity_%,Train_Top_Temperature_degC,ES642_PM2.5_Concentration_ug/m3,ES642_Air_Flow_Rate_L/min,ES642_Internal_Air_Temperature_degC,ES642_Internal_Relative_Humidity_%,ES642_Internal_Air_Pressure_hpa,ES642_Error_Code_code,2B_Ozone_Concentration_ppbv,2B_Air_Flow_Rate_L/min,2B_Internal_Air_Temperature_degC,2B_Internal_Air_Pressure_hpa,PM2.5_Data_Flagged_binary,Ozone_Data_Flagged_binary,Time_Tuple,Date,Year,Month,Day_of_Year,Day_of_Month,Minute,Hour,Transit_ID,AQI,PM2.5_Category,Meso_West_Category
2020-09-01 10:37:02,40.722897,-111.92144,1289.4,14.03,12.07,63.86,10.55,2.0,2.0,10.78,31.0,875.3,0.0,17.7,2.28,25.5,832.8,0,0,"time.struct_time(tm_year=2020, tm_mon=9, tm_mday=1, tm_hour=10, tm_min=37, tm_sec=2, tm_wday=1, tm_yday=245, tm_isdst=-1)",2020-09-01,2020,9,245,1,37,10,TRX02,Good,< 12.00,2.00 - 4.00
2020-09-01 10:38:02,40.722897,-111.92144,1289.5,14.02,12.05,65.04,10.68,2.0,2.0,10.61,31.0,875.3,0.0,18.2,2.29,25.5,832.7,0,0,"time.struct_time(tm_year=2020, tm_mon=9, tm_mday=1, tm_hour=10, tm_min=38, tm_sec=2, tm_wday=1, tm_yday=245, tm_isdst=-1)",2020-09-01,2020,9,245,1,38,10,TRX02,Good,< 12.00,2.00 - 4.00
2020-09-01 10:39:02,40.722897,-111.92144,1289.7,14.03,12.05,66.87,10.58,2.0,2.0,10.78,32.0,875.3,0.0,19.1,2.3,25.5,832.7,0,0,"time.struct_time(tm_year=2020, tm_mon=9, tm_mday=1, tm_hour=10, tm_min=39, tm_sec=2, tm_wday=1, tm_yday=245, tm_isdst=-1)",2020-09-01,2020,9,245,1,39,10,TRX02,Good,< 12.00,2.00 - 4.00
2020-09-01 10:40:02,40.7229,-111.921448,1289.8,14.03,12.05,67.61,10.48,2.0,2.0,10.78,32.0,875.3,0.0,19.9,2.3,25.5,832.5,0,0,"time.struct_time(tm_year=2020, tm_mon=9, tm_mday=1, tm_hour=10, tm_min=40, tm_sec=2, tm_wday=1, tm_yday=245, tm_isdst=-1)",2020-09-01,2020,9,245,1,40,10,TRX02,Good,< 12.00,2.00 - 4.00
2020-09-01 10:41:02,40.7229,-111.921448,1289.9,14.03,12.05,68.05,10.58,2.0,2.0,10.89,32.0,875.2,0.0,16.0,2.28,25.4,832.7,0,0,"time.struct_time(tm_year=2020, tm_mon=9, tm_mday=1, tm_hour=10, tm_min=41, tm_sec=2, tm_wday=1, tm_yday=245, tm_isdst=-1)",2020-09-01,2020,9,245,1,41,10,TRX02,Good,< 12.00,2.00 - 4.00
2020-09-01 10:42:02,40.7229,-111.921448,1289.9,14.03,12.05,68.29,10.45,3.0,2.0,10.78,32.0,875.4,0.0,21.5,2.28,25.4,832.5,0,0,"time.struct_time(tm_year=2020, tm_mon=9, tm_mday=1, tm_hour=10, tm_min=42, tm_sec=2, tm_wday=1, tm_yday=245, tm_isdst=-1)",2020-09-01,2020,9,245,1,42,10,TRX02,Good,< 12.00,2.00 - 4.00
2020-09-01 10:43:02,40.722904,-111.921448,1289.9,14.02,12.05,69.2,10.52,2.0,2.0,10.89,33.0,875.3,0.0,21.8,2.28,25.4,832.6,0,0,"time.struct_time(tm_year=2020, tm_mon=9, tm_mday=1, tm_hour=10, tm_min=43, tm_sec=2, tm_wday=1, tm_yday=245, tm_isdst=-1)",2020-09-01,2020,9,245,1,43,10,TRX02,Good,< 12.00,2.00 - 4.00
2020-09-01 10:44:02,40.722904,-111.921448,1289.9,14.03,12.05,68.86,10.48,2.0,2.0,10.89,33.0,875.3,0.0,19.9,2.28,25.4,832.6,0,0,"time.struct_time(tm_year=2020, tm_mon=9, tm_mday=1, tm_hour=10, tm_min=44, tm_sec=2, tm_wday=1, tm_yday=245, tm_isdst=-1)",2020-09-01,2020,9,245,1,44,10,TRX02,Good,< 12.00,2.00 - 4.00
2020-09-01 10:45:02,40.722904,-111.921448,1289.9,14.03,12.05,68.36,10.45,2.0,2.0,10.72,33.0,875.3,0.0,21.0,2.27,25.4,832.7,0,0,"time.struct_time(tm_year=2020, tm_mon=9, tm_mday=1, tm_hour=10, tm_min=45, tm_sec=2, tm_wday=1, tm_yday=245, tm_isdst=-1)",2020-09-01,2020,9,245,1,45,10,TRX02,Good,< 12.00,2.00 - 4.00
2020-09-01 10:46:02,40.722904,-111.921448,1289.9,14.03,12.05,68.25,10.38,2.0,2.0,10.78,33.0,875.3,0.0,21.6,2.28,25.4,832.7,0,0,"time.struct_time(tm_year=2020, tm_mon=9, tm_mday=1, tm_hour=10, tm_min=46, tm_sec=2, tm_wday=1, tm_yday=245, tm_isdst=-1)",2020-09-01,2020,9,245,1,46,10,TRX02,Good,< 12.00,2.00 - 4.00
