Timestamp_UTC,Latitude_ddeg,Longitude_ddeg,Elevation_m,Battery_Voltage_volts,Train_Box_Temperature_degC,Train_Top_Relative_Humidity_%,Train_Top_Temperature_degC,ES642_PM2.5_Concentration_ug/m3,ES642_Air_Flow_Rate_L/min,ES642_Internal_Air_Temperature_degC,ES642_Internal_Relative_Humidity_%,ES642_Internal_Air_Pressure_hpa,ES642_Error_Code_code,2B_Ozone_Concentration_ppbv,2B_Air_Flow_Rate_L/min,2B_Internal_Air_Temperature_degC,2B_Internal_Air_Pressure_hpa,PM2.5_Data_Flagged_binary,Ozone_Data_Flagged_binary,Time_Tuple,Date,Year,Month,Day_of_Year,Day_of_Month,Minute,Hour,Transit_ID,AQI,PM2.5_Category,Meso_West_Category
2021-11-01 00:00:00,40.627243,-111.905968,1323.7,13.48,23.32,55.96,16.67,9.0,2.0,15.0,33.0,867.2,0.0,-9999.0,1.46,38.5,649.1,0,0,"time.struct_time(tm_year=2021, tm_mon=11, tm_mday=1, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=305, tm_isdst=-1)",2021-11-01,2021,11,305,1,0,0,TRX03,Good,< 12.00,8.00 - 10.00
2021-11-01 00:01:00,40.627243,-111.905968,1323.9,13.48,23.21,56.5,16.54,8.0,2.0,14.78,33.0,867.2,0.0,-9999.0,1.47,38.5,648.8,0,0,"time.struct_time(tm_year=2021, tm_mon=11, tm_mday=1, tm_hour=0, tm_min=1, tm_sec=0, tm_wday=0, tm_yday=305, tm_isdst=-1)",2021-11-01,2021,11,305,1,1,0,TRX03,Good,< 12.00,8.00 - 10.00
2021-11-01 00:02:00,40.627247,-111.905975,1324.1,13.48,23.1,56.47,16.4,8.0,2.0,14.5,33.0,867.1,0.0,-9999.0,1.48,38.4,648.5,0,0,"time.struct_time(tm_year=2021, tm_mon=11, tm_mday=1, tm_hour=0, tm_min=2, tm_sec=0, tm_wday=0, tm_yday=305, tm_isdst=-1)",2021-11-01,2021,11,305,1,2,0,TRX03,Good,< 12.00,8.00 - 10.00
2021-11-01 00:03:00,40.627243,-111.905968,1324.1,13.47,22.98,57.21,16.27,7.0,2.0,14.72,33.0,867.1,0.0,-9999.0,1.49,38.4,648.0,0,0,"time.struct_time(tm_year=2021, tm_mon=11, tm_mday=1, tm_hour=0, tm_min=3, tm_sec=0, tm_wday=0, tm_yday=305, tm_isdst=-1)",2021-11-01,2021,11,305,1,3,0,TRX03,Good,< 12.00,6.00 - 8.00
2021-11-01 00:04:00,40.627247,-111.905968,1324.3,13.51,22.87,57.48,16.2,7.0,2.0,14.61,33.0,867.1,0.0,-9999.0,1.49,38.3,647.6,0,0,"time.struct_time(tm_year=2021, tm_mon=11, tm_mday=1, tm_hour=0, tm_min=4, tm_sec=0, tm_wday=0, tm_yday=305, tm_isdst=-1)",2021-11-01,2021,11,305,1,4,0,TRX03,Good,< 12.00,6.00 - 8.00
2021-11-01 00:05:00,40.627247,-111.905968,1324.7,13.51,22.78,58.05,16.13,8.0,2.0,14.39,34.0,867.2,0.0,-9999.0,1.47,38.3,647.3,0,0,"time.struct_time(tm_year=2021, tm_mon=11, tm_mday=1, tm_hour=0, tm_min=5, tm_sec=0, tm_wday=0, tm_yday=305, tm_isdst=-1)",2021-11-01,2021,11,305,1,5,0,TRX03,Good,< 12.00,8.00 - 10.00
2021-11-01 00:06:00,40.627247,-111.90596,1324.7,13.51,22.67,58.22,16.03,8.0,2.0,14.22,34.0,867.3,0.0,-9999.0,1.48,38.2,646.7,0,0,"time.struct_time(tm_year=2021, tm_mon=11, tm_mday=1, tm_hour=0, tm_min=6, tm_sec=0, tm_wday=0, tm_yday=305, tm_isdst=-1)",2021-11-01,2021,11,305,1,6,0,TRX03,Good,< 12.00,8.00 - 10.00
2021-11-01 00:07:00,40.627251,-111.90596,1324.6,13.51,22.56,58.42,15.8,7.0,2.0,14.28,34.0,867.1,0.0,-9999.0,1.47,38.1,646.4,0,0,"time.struct_time(tm_year=2021, tm_mon=11, tm_mday=1, tm_hour=0, tm_min=7, tm_sec=0, tm_wday=0, tm_yday=305, tm_isdst=-1)",2021-11-01,2021,11,305,1,7,0,TRX03,Good,< 12.00,6.00 - 8.00
2021-11-01 00:08:00,40.627254,-111.90596,1324.8,13.51,22.45,58.29,15.86,7.0,2.0,14.11,34.0,867.1,0.0,-9999.0,1.45,38.1,646.3,0,0,"time.struct_time(tm_year=2021, tm_mon=11, tm_mday=1, tm_hour=0, tm_min=8, tm_sec=0, tm_wday=0, tm_yday=305, tm_isdst=-1)",2021-11-01,2021,11,305,1,8,0,TRX03,Good,< 12.00,6.00 - 8.00
2021-11-01 00:09:00,40.627254,-111.90596,1324.6,13.51,22.33,58.69,15.76,8.0,2.0,14.0,34.0,867.3,0.0,-9999.0,1.47,38.0,645.5,0,0,"time.struct_time(tm_year=2021, tm_mon=11, tm_mday=1, tm_hour=0, tm_min=9, tm_sec=0, tm_wday=0, tm_yday=305, tm_isdst=-1)",2021-11-01,2021,11,305,1,9,0,TRX03,Good,< 12.00,8.00 - 10.00
