Timestamp_UTC,Latitude_ddeg,Longitude_ddeg,Elevation_m,Battery_Voltage_volts,Train_Box_Temperature_degC,Train_Top_Relative_Humidity_%,Train_Top_Temperature_degC,ES642_PM2.5_Concentration_ug/m3,ES642_Air_Flow_Rate_L/min,ES642_Internal_Air_Temperature_degC,ES642_Internal_Relative_Humidity_%,ES642_Internal_Air_Pressure_hpa,ES642_Error_Code_code,2B_Ozone_Concentration_ppbv,2B_Air_Flow_Rate_L/min,2B_Internal_Air_Temperature_degC,2B_Internal_Air_Pressure_hpa,PM2.5_Data_Flagged_binary,Ozone_Data_Flagged_binary,Time_Tuple,Date,Year,Month,Day_of_Year,Day_of_Month,Minute,Hour,Transit_ID,AQI,PM2.5_Category,Meso_West_Category
2018-11-19 18:55:24,40.722519,-111.920135,1431.6,13.71,20.42,-9999.0,-9999.0,5.0,2.0,19.0,19.0,881.8,0.0,-9999.0,2.1,22.1,835.3,0,0,"time.struct_time(tm_year=2018, tm_mon=11, tm_mday=19, tm_hour=18, tm_min=55, tm_sec=24, tm_wday=0, tm_yday=323, tm_isdst=-1)",2018-11-19,2018,11,323,19,55,18,TRX02,Good,< 12.00,4.00 - 6.00
2018-11-19 18:56:24,40.722698,-111.91925,1346.5,13.72,20.45,-9999.0,-9999.0,4.0,2.0,19.0,19.0,881.8,0.0,-9999.0,2.1,22.7,835.2,0,0,"time.struct_time(tm_year=2018, tm_mon=11, tm_mday=19, tm_hour=18, tm_min=56, tm_sec=24, tm_wday=0, tm_yday=323, tm_isdst=-1)",2018-11-19,2018,11,323,19,56,18,TRX02,Good,< 12.00,4.00 - 6.00
2018-11-19 18:57:24,40.722446,-111.919128,1349.6,13.72,20.45,-9999.0,-9999.0,4.0,2.0,19.11,19.0,881.8,0.0,-9999.0,2.11,23.3,835.2,0,0,"time.struct_time(tm_year=2018, tm_mon=11, tm_mday=19, tm_hour=18, tm_min=57, tm_sec=24, tm_wday=0, tm_yday=323, tm_isdst=-1)",2018-11-19,2018,11,323,19,57,18,TRX02,Good,< 12.00,4.00 - 6.00
2018-11-19 18:58:24,40.722431,-111.919258,1344.6,13.71,20.45,-9999.0,-9999.0,5.0,2.0,19.22,20.0,881.6,0.0,-9999.0,2.11,23.8,835.1,0,0,"time.struct_time(tm_year=2018, tm_mon=11, tm_mday=19, tm_hour=18, tm_min=58, tm_sec=24, tm_wday=0, tm_yday=323, tm_isdst=-1)",2018-11-19,2018,11,323,19,58,18,TRX02,Good,< 12.00,4.00 - 6.00
2018-11-19 18:59:24,40.722641,-111.919182,1334.6,13.72,20.48,-9999.0,-9999.0,4.0,2.0,19.28,21.0,881.6,0.0,-9999.0,2.12,24.3,835.0,0,0,"time.struct_time(tm_year=2018, tm_mon=11, tm_mday=19, tm_hour=18, tm_min=59, tm_sec=24, tm_wday=0, tm_yday=323, tm_isdst=-1)",2018-11-19,2018,11,323,19,59,18,TRX02,Good,< 12.00,4.00 - 6.00
2018-11-19 19:00:24,40.722546,-111.919044,1332.5,13.72,20.5,-9999.0,-9999.0,4.0,2.0,19.28,21.0,881.6,0.0,4.3,2.12,24.8,835.0,0,0,"time.struct_time(tm_year=2018, tm_mon=11, tm_mday=19, tm_hour=19, tm_min=0, tm_sec=24, tm_wday=0, tm_yday=323, tm_isdst=-1)",2018-11-19,2018,11,323,19,0,19,TRX02,Good,< 12.00,4.00 - 6.00
2018-11-19 19:01:24,40.722519,-111.91906,1323.8,13.72,20.53,-9999.0,-9999.0,6.0,2.0,19.28,21.0,881.8,0.0,6.5,2.13,25.2,834.9,0,0,"time.struct_time(tm_year=2018, tm_mon=11, tm_mday=19, tm_hour=19, tm_min=1, tm_sec=24, tm_wday=0, tm_yday=323, tm_isdst=-1)",2018-11-19,2018,11,323,19,1,19,TRX02,Good,< 12.00,6.00 - 8.00
2018-11-19 19:02:24,40.722614,-111.91909,1318.1,13.72,20.56,-9999.0,-9999.0,6.0,2.0,19.39,20.0,881.5,0.0,6.6,2.12,25.7,834.9,0,0,"time.struct_time(tm_year=2018, tm_mon=11, tm_mday=19, tm_hour=19, tm_min=2, tm_sec=24, tm_wday=0, tm_yday=323, tm_isdst=-1)",2018-11-19,2018,11,323,19,2,19,TRX02,Good,< 12.00,6.00 - 8.00
2018-11-19 19:03:24,40.722675,-111.919106,1308.4,13.72,20.58,-9999.0,-9999.0,6.0,2.0,19.39,20.0,881.7,0.0,6.8,2.12,26.1,834.9,0,0,"time.struct_time(tm_year=2018, tm_mon=11, tm_mday=19, tm_hour=19, tm_min=3, tm_sec=24, tm_wday=0, tm_yday=323, tm_isdst=-1)",2018-11-19,2018,11,323,19,3,19,TRX02,Good,< 12.00,6.00 - 8.00
2018-11-19 19:04:24,40.722584,-111.91906,1318.2,13.72,20.61,-9999.0,-9999.0,6.0,2.0,19.39,19.0,881.5,0.0,1.6,2.11,26.5,834.8,0,0,"time.struct_time(tm_year=2018, tm_mon=11, tm_mday=19, tm_hour=19, tm_min=4, tm_sec=24, tm_wday=0, tm_yday=323, tm_isdst=-1)",2018-11-19,2018,11,323,19,4,19,TRX02,Good,< 12.00,6.00 - 8.00
2018-11-19 19:05:24,40.722702,-111.919136,1318.4,13.72,20.66,-9999.0,-9999.0,5.0,2.0,19.39,19.0,881.4,0.0,1.7,2.13,26.8,834.8,0,0,"time.struct_time(tm_year=2018, tm_mon=11, tm_mday=19, tm_hour=19, tm_min=5, tm_sec=24, tm_wday=0, tm_yday=323, tm_isdst=-1)",2018-11-19,2018,11,323,19,5,19,TRX02,Good,< 12.00,4.00 - 6.00
2018-11-19 19:06:24,40.722515,-111.919205,1311.9,13.69,20.66,-9999.0,-9999.0,5.0,2.0,19.5,19.0,881.6,0.0,5.1,2.13,27.2,834.8,0,0,"time.struct_time(tm_year=2018, tm_mon=11, tm_mday=19, tm_hour=19, tm_min=6, tm_sec=24, tm_wday=0, tm_yday=323, tm_isdst=-1)",2018-11-19,2018,11,323,19,6,19,TRX02,Good,< 12.00,4.00 - 6.00
