Timestamp_UTC,Latitude_ddeg,Longitude_ddeg,Elevation_m,GPS_Speed_m/s,GPS_Direction_deg,GPS_RMC_Valid_binary,Battery_Voltage_volts,Bus_Box_Temperature_degC,Bus_Top_Temperature_degC,Bus_Top_Relative_Humidity_%,ES642_PM2.5_Concentration_ug/m3,ES642_Air_Flow_Rate_L/min,ES642_Internal_Air_Temperature_degC,ES642_Internal_Relative_Humidity_%,ES642_Internal_Air_Pressure_hpa,ES642_Error_Code_code,2B_Ozone_Concentration_ppbv,2B_Air_Flow_Rate_L/min,2B_Internal_Air_Temperature_degC,2B_Internal_Air_Pressure_hpa,2B405_NO_Concentration_ppbv,2B405_NO2_Concentration_ppbv,2B405_NOX_Concentration_ppbv,2B405_Internal_Air_Temperature_degC,2B405_Internal_Air_Pressure_hpa,2B405_Air_Flow_Rate_L/min,2B405_Cell_O3_Flow_Rate_mL/min,PM2.5_Data_Flagged_binary,Ozone_Data_Flagged_binary,GPS_Data_Flagged_binary,Time_Tuple,Date,Year,Month,Day_of_Year,Day_of_Month,Minute,Hour,Transit_ID,AQI,PM2.5_Category,Meso_West_Category
2022-11-01 00:00:00,40.76622,-111.910034,1284.4,-9999.0,-9999.0,-9999.0,13.73,16.72,15.36,26.09,6.0,2.0,14.5,29.0,873.4,0.0,-9999.0,1.75,18.7,835.1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,1,"time.struct_time(tm_year=2022, tm_mon=11, tm_mday=1, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=305, tm_isdst=-1)",2022-11-01,2022,11,305,1,0,0,BUS01,Good,< 12.00,6.00 - 8.00
2022-11-01 00:01:40,40.765667,-111.909859,1286.5,-9999.0,-9999.0,-9999.0,13.73,16.7,15.24,27.1,6.0,2.0,14.39,29.0,873.2,0.0,16.4,1.74,19.7,835.2,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,1,"time.struct_time(tm_year=2022, tm_mon=11, tm_mday=1, tm_hour=0, tm_min=1, tm_sec=40, tm_wday=1, tm_yday=305, tm_isdst=-1)",2022-11-01,2022,11,305,1,1,0,BUS01,Good,< 12.00,6.00 - 8.00
2022-11-01 00:03:20,40.765629,-111.909821,1285.8,-9999.0,-9999.0,-9999.0,13.72,16.69,15.49,26.7,6.0,2.0,14.39,29.0,873.2,0.0,12.8,1.75,20.5,835.2,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=11, tm_mday=1, tm_hour=0, tm_min=3, tm_sec=20, tm_wday=1, tm_yday=305, tm_isdst=-1)",2022-11-01,2022,11,305,1,3,0,BUS01,Good,< 12.00,6.00 - 8.00
2022-11-01 00:05:00,40.765568,-111.909859,1286.6,-9999.0,-9999.0,-9999.0,13.73,16.68,15.96,25.77,5.0,2.0,14.39,29.0,873.4,0.0,12.9,1.76,21.3,835.2,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=11, tm_mday=1, tm_hour=0, tm_min=5, tm_sec=0, tm_wday=1, tm_yday=305, tm_isdst=-1)",2022-11-01,2022,11,305,1,5,0,BUS01,Good,< 12.00,4.00 - 6.00
2022-11-01 00:06:40,40.765785,-111.90979,1288.4,-9999.0,-9999.0,-9999.0,13.74,16.71,16.41,25.11,6.0,2.0,14.61,29.0,873.2,0.0,10.4,1.74,22.0,835.2,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=11, tm_mday=1, tm_hour=0, tm_min=6, tm_sec=40, tm_wday=1, tm_yday=305, tm_isdst=-1)",2022-11-01,2022,11,305,1,6,0,BUS01,Good,< 12.00,6.00 - 8.00
2022-11-01 00:08:20,40.765614,-111.909851,1276.8,-9999.0,-9999.0,-9999.0,13.73,16.75,16.89,24.36,5.0,2.0,14.72,29.0,873.1,0.0,10.2,1.76,22.7,835.2,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=11, tm_mday=1, tm_hour=0, tm_min=8, tm_sec=20, tm_wday=1, tm_yday=305, tm_isdst=-1)",2022-11-01,2022,11,305,1,8,0,BUS01,Good,< 12.00,4.00 - 6.00
2022-11-01 00:10:00,40.765617,-111.909851,1276.1,-9999.0,-9999.0,-9999.0,13.73,16.82,17.27,24.75,6.0,2.0,14.89,29.0,873.0,0.0,16.1,1.76,23.3,835.1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=11, tm_mday=1, tm_hour=0, tm_min=10, tm_sec=0, tm_wday=1, tm_yday=305, tm_isdst=-1)",2022-11-01,2022,11,305,1,10,0,BUS01,Good,< 12.00,6.00 - 8.00
2022-11-01 00:11:40,40.765614,-111.909851,1275.8,-9999.0,-9999.0,-9999.0,13.22,16.91,17.69,25.28,8.0,2.0,15.0,29.0,873.2,0.0,13.2,1.76,23.9,835.1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=11, tm_mday=1, tm_hour=0, tm_min=11, tm_sec=40, tm_wday=1, tm_yday=305, tm_isdst=-1)",2022-11-01,2022,11,305,1,11,0,BUS01,Good,< 12.00,8.00 - 10.00
2022-11-01 00:13:20,40.765606,-111.909859,1275.6,-9999.0,-9999.0,-9999.0,13.73,17.01,18.09,24.81,7.0,2.0,15.22,29.0,873.0,0.0,15.4,1.76,24.4,835.1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=11, tm_mday=1, tm_hour=0, tm_min=13, tm_sec=20, tm_wday=1, tm_yday=305, tm_isdst=-1)",2022-11-01,2022,11,305,1,13,0,BUS01,Good,< 12.00,6.00 - 8.00
2022-11-01 00:15:00,40.765598,-111.909859,1275.7,-9999.0,-9999.0,-9999.0,13.74,17.13,18.48,25.11,8.0,2.0,15.39,30.0,873.1,0.0,9.4,1.77,24.9,835.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=11, tm_mday=1, tm_hour=0, tm_min=15, tm_sec=0, tm_wday=1, tm_yday=305, tm_isdst=-1)",2022-11-01,2022,11,305,1,15,0,BUS01,Good,< 12.00,8.00 - 10.00
2022-11-01 00:16:40,40.765602,-111.909866,1275.6,-9999.0,-9999.0,-9999.0,13.73,17.26,18.8,24.55,7.0,2.0,15.5,30.0,873.0,0.0,15.1,1.77,25.4,835.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=11, tm_mday=1, tm_hour=0, tm_min=16, tm_sec=40, tm_wday=1, tm_yday=305, tm_isdst=-1)",2022-11-01,2022,11,305,1,16,0,BUS01,Good,< 12.00,6.00 - 8.00
2022-11-01 00:18:20,40.765606,-111.909874,1275.9,-9999.0,-9999.0,-9999.0,13.73,17.4,19.12,24.3,7.0,2.0,15.72,30.0,872.9,0.0,13.1,1.77,25.8,835.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=11, tm_mday=1, tm_hour=0, tm_min=18, tm_sec=20, tm_wday=1, tm_yday=305, tm_isdst=-1)",2022-11-01,2022,11,305,1,18,0,BUS01,Good,< 12.00,6.00 - 8.00
2022-11-01 00:20:00,40.76561,-111.909866,1276.3,-9999.0,-9999.0,-9999.0,13.73,17.55,19.36,23.95,5.0,2.0,15.89,30.0,873.2,0.0,12.9,1.77,26.2,835.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=11, tm_mday=1, tm_hour=0, tm_min=20, tm_sec=0, tm_wday=1, tm_yday=305, tm_isdst=-1)",2022-11-01,2022,11,305,1,20,0,BUS01,Good,< 12.00,4.00 - 6.00
2022-11-01 00:21:40,40.765621,-111.909866,1276.4,-9999.0,-9999.0,-9999.0,13.74,17.7,19.57,23.08,6.0,2.0,16.0,29.0,873.0,0.0,15.4,1.79,26.6,834.9,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=11, tm_mday=1, tm_hour=0, tm_min=21, tm_sec=40, tm_wday=1, tm_yday=305, tm_isdst=-1)",2022-11-01,2022,11,305,1,21,0,BUS01,Good,< 12.00,6.00 - 8.00
2022-11-01 00:23:20,40.765656,-111.909859,1276.4,-9999.0,-9999.0,-9999.0,13.71,17.85,19.72,22.97,5.0,2.0,16.22,29.0,872.9,0.0,14.4,1.78,27.0,835.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=11, tm_mday=1, tm_hour=0, tm_min=23, tm_sec=20, tm_wday=1, tm_yday=305, tm_isdst=-1)",2022-11-01,2022,11,305,1,23,0,BUS01,Good,< 12.00,4.00 - 6.00
2022-11-01 00:25:00,40.765614,-111.909798,1273.0,-9999.0,-9999.0,-9999.0,13.71,18.01,19.86,23.39,5.0,2.0,16.39,29.0,873.1,0.0,11.3,1.79,27.4,835.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=11, tm_mday=1, tm_hour=0, tm_min=25, tm_sec=0, tm_wday=1, tm_yday=305, tm_isdst=-1)",2022-11-01,2022,11,305,1,25,0,BUS01,Good,< 12.00,4.00 - 6.00
2022-11-01 00:26:40,40.765614,-111.909843,1274.8,-9999.0,-9999.0,-9999.0,13.71,18.17,19.95,22.77,4.0,2.0,16.61,29.0,873.2,0.0,13.5,1.79,27.8,834.9,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=11, tm_mday=1, tm_hour=0, tm_min=26, tm_sec=40, tm_wday=1, tm_yday=305, tm_isdst=-1)",2022-11-01,2022,11,305,1,26,0,BUS01,Good,< 12.00,4.00 - 6.00
2022-11-01 00:28:20,40.765747,-111.909882,1271.6,-9999.0,-9999.0,-9999.0,13.71,18.33,20.01,22.6,4.0,2.0,16.72,29.0,873.0,0.0,11.7,1.79,28.1,834.9,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=11, tm_mday=1, tm_hour=0, tm_min=28, tm_sec=20, tm_wday=1, tm_yday=305, tm_isdst=-1)",2022-11-01,2022,11,305,1,28,0,BUS01,Good,< 12.00,4.00 - 6.00
2022-11-01 00:30:00,40.765682,-111.909866,1275.6,-9999.0,-9999.0,-9999.0,13.71,18.48,20.09,22.45,5.0,2.0,16.89,28.0,872.9,0.0,10.1,1.79,28.4,834.9,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=11, tm_mday=1, tm_hour=0, tm_min=30, tm_sec=0, tm_wday=1, tm_yday=305, tm_isdst=-1)",2022-11-01,2022,11,305,1,30,0,BUS01,Good,< 12.00,4.00 - 6.00
2022-11-01 00:31:40,40.765541,-111.909988,1299.6,-9999.0,-9999.0,-9999.0,13.7,18.64,20.15,22.55,5.0,2.0,17.0,28.0,872.8,0.0,10.2,1.8,28.7,834.9,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=11, tm_mday=1, tm_hour=0, tm_min=31, tm_sec=40, tm_wday=1, tm_yday=305, tm_isdst=-1)",2022-11-01,2022,11,305,1,31,0,BUS01,Good,< 12.00,4.00 - 6.00
2022-11-01 00:33:20,40.765491,-111.910057,1309.2,-9999.0,-9999.0,-9999.0,13.7,18.79,20.23,23.1,5.0,2.0,17.22,28.0,873.0,0.0,10.5,1.79,29.0,834.9,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=11, tm_mday=1, tm_hour=0, tm_min=33, tm_sec=20, tm_wday=1, tm_yday=305, tm_isdst=-1)",2022-11-01,2022,11,305,1,33,0,BUS01,Good,< 12.00,4.00 - 6.00
2022-11-01 00:35:00,40.765743,-111.909454,1278.7,-9999.0,-9999.0,-9999.0,13.71,18.94,20.23,20.16,4.0,2.0,17.39,28.0,872.7,0.0,14.7,1.81,29.3,834.8,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=11, tm_mday=1, tm_hour=0, tm_min=35, tm_sec=0, tm_wday=1, tm_yday=305, tm_isdst=-1)",2022-11-01,2022,11,305,1,35,0,BUS01,Good,< 12.00,4.00 - 6.00
2022-11-01 00:36:40,40.765026,-111.911476,1278.8,-9999.0,-9999.0,-9999.0,13.67,19.09,19.08,22.6,9.0,2.0,17.5,26.0,872.9,0.0,8.2,1.8,29.6,834.8,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=11, tm_mday=1, tm_hour=0, tm_min=36, tm_sec=40, tm_wday=1, tm_yday=305, tm_isdst=-1)",2022-11-01,2022,11,305,1,36,0,BUS01,Good,< 12.00,8.00 - 10.00
2022-11-01 00:38:20,40.760914,-111.916832,1288.8,-9999.0,-9999.0,-9999.0,13.67,19.23,17.18,27.23,9.0,2.0,17.39,26.0,873.0,0.0,5.2,1.8,29.9,835.1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,0,"time.struct_time(tm_year=2022, tm_mon=11, tm_mday=1, tm_hour=0, tm_min=38, tm_sec=20, tm_wday=1, tm_yday=305, tm_isdst=-1)",2022-11-01,2022,11,305,1,38,0,BUS01,Good,< 12.00,8.00 - 10.00
