Timestamp_UTC,Latitude_ddeg,Longitude_ddeg,Elevation_m,GPS_Speed_m/s,GPS_Direction_deg,GPS_RMC_Valid_binary,Battery_Voltage_volts,Bus_Box_Temperature_degC,Bus_Top_Temperature_degC,Bus_Top_Relative_Humidity_%,ES405_PM1_Concentration_ug/m3,ES405_PM2.5_Concentration_ug/m3,ES405_PM4_Concentration_ug/m3,ES405_PM10_Concentration_ug/m3,ES405_Air_Flow_Rate_L/min,ES405_Internal_Air_Temperature_degC,ES405_Internal_Relative_Humidity_%,ES405_Internal_Air_Pressure_hpa,ES405_Error_Code_code,2B_Ozone_Concentration_ppbv,2B_Air_Flow_Rate_L/min,2B_Internal_Air_Temperature_degC,2B_Internal_Air_Pressure_hpa,PM2.5_Data_Flagged_binary,Ozone_Data_Flagged_binary,GPS_Data_Flagged_binary,Time_Tuple,Date,Year,Month,Day_of_Year,Day_of_Month,Minute,Hour,Transit_ID,AQI,PM2.5_Category,Meso_West_Category
2023-07-12 20:36:00,40.767063,-111.920555,170.3,1.39,7.8,1.0,0.0,28.38,-39.94,-0.0,2.1,3.1,5.0,7.7,1.0,29.78,28.8,653.8,0.0,-9999.0,1.94,35.8,835.2,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=12, tm_hour=20, tm_min=36, tm_sec=0, tm_wday=2, tm_yday=193, tm_isdst=-1)",2023-07-12,2023,7,193,12,36,20,BUS05,Good,< 12.00,2.00 - 4.00
2023-07-17 20:05:00,40.763172,-111.910294,1287.0,0.0,145.1,1.0,13.32,26.59,25.12,40.15,1.4,2.6,4.3,8.9,1.0,27.78,29.6,654.1,0.0,18.5,1.94,33.2,836.6,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=17, tm_hour=20, tm_min=5, tm_sec=0, tm_wday=0, tm_yday=198, tm_isdst=-1)",2023-07-17,2023,7,198,17,5,20,BUS05,Good,< 12.00,2.00 - 4.00
2023-07-17 20:25:00,40.763012,-111.910172,1282.5,0.0,95.3,1.0,13.34,27.07,25.08,40.47,1.3,2.2,3.6,6.0,1.0,29.0,27.1,654.0,0.0,1.6,1.97,35.4,836.5,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=17, tm_hour=20, tm_min=25, tm_sec=0, tm_wday=0, tm_yday=198, tm_isdst=-1)",2023-07-17,2023,7,198,17,25,20,BUS05,Good,< 12.00,2.00 - 4.00
2023-07-17 20:45:00,40.763062,-111.910172,1272.4,0.0,54.2,1.0,13.35,27.35,25.19,40.54,1.2,2.0,2.9,4.4,1.0,29.72,29.0,653.8,0.0,-0.7,1.96,36.4,836.2,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=17, tm_hour=20, tm_min=45, tm_sec=0, tm_wday=0, tm_yday=198, tm_isdst=-1)",2023-07-17,2023,7,198,17,45,20,BUS05,Good,< 12.00,2.00 - 4.00
2023-07-18 14:26:00,40.762848,-111.91037,1266.8,0.0,0.0,1.0,13.4,26.32,25.92,42.31,2.5,3.8,5.5,8.6,1.0,27.28,31.1,654.9,0.0,-0.1,1.91,31.8,837.4,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=18, tm_hour=14, tm_min=26, tm_sec=0, tm_wday=1, tm_yday=199, tm_isdst=-1)",2023-07-18,2023,7,199,18,26,14,BUS05,Good,< 12.00,2.00 - 4.00
2023-07-18 14:46:00,40.762836,-111.910278,1287.1,0.0,210.8,1.0,13.32,27.07,26.15,42.9,2.3,3.5,5.5,8.1,1.0,29.11,28.5,655.0,0.0,4.1,1.95,35.1,837.6,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=18, tm_hour=14, tm_min=46, tm_sec=0, tm_wday=1, tm_yday=199, tm_isdst=-1)",2023-07-18,2023,7,199,18,46,14,BUS05,Good,< 12.00,2.00 - 4.00
2023-07-18 15:06:00,40.76302,-111.910271,1299.9,0.0,304.9,1.0,13.3,27.65,26.11,44.29,2.2,3.2,4.3,6.9,1.0,30.22,27.4,655.2,0.0,5.8,1.97,36.5,837.7,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=6, tm_sec=0, tm_wday=1, tm_yday=199, tm_isdst=-1)",2023-07-18,2023,7,199,18,6,15,BUS05,Good,< 12.00,2.00 - 4.00
2023-07-18 15:26:00,40.762714,-111.910187,1296.1,0.0,164.6,1.0,13.3,28.0,25.85,45.64,2.0,2.8,3.9,5.6,1.0,30.89,27.6,655.2,0.0,9.1,1.98,37.2,837.7,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=26, tm_sec=0, tm_wday=1, tm_yday=199, tm_isdst=-1)",2023-07-18,2023,7,199,18,26,15,BUS05,Good,< 12.00,2.00 - 4.00
2023-07-18 15:46:00,40.763042,-111.910263,1287.4,0.0,284.7,1.0,13.3,28.19,25.77,45.81,2.0,2.7,3.4,4.4,1.0,31.39,29.9,655.3,0.0,13.3,1.98,37.6,837.8,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=46, tm_sec=0, tm_wday=1, tm_yday=199, tm_isdst=-1)",2023-07-18,2023,7,199,18,46,15,BUS05,Good,< 12.00,2.00 - 4.00
2023-07-18 16:06:00,40.762836,-111.91008,1269.7,0.0,306.5,1.0,13.3,28.39,27.13,36.24,2.5,4.3,7.4,13.1,1.0,31.5,28.8,655.3,0.0,8.8,1.98,37.8,837.8,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=18, tm_hour=16, tm_min=6, tm_sec=0, tm_wday=1, tm_yday=199, tm_isdst=-1)",2023-07-18,2023,7,199,18,6,16,BUS05,Good,< 12.00,4.00 - 6.00
