Timestamp_UTC,Latitude_ddeg,Longitude_ddeg,Elevation_m,GPS_Speed_m/s,GPS_Direction_deg,GPS_RMC_Valid_binary,Battery_Voltage_volts,Bus_Box_Temperature_degC,Bus_Top_Temperature_degC,Bus_Top_Relative_Humidity_%,ES642_PM2.5_Concentration_ug/m3,ES642_Air_Flow_Rate_L/min,ES642_Internal_Air_Temperature_degC,ES642_Internal_Relative_Humidity_%,ES642_Internal_Air_Pressure_hpa,ES642_Error_Code_code,2B_Ozone_Concentration_ppbv,2B_Air_Flow_Rate_L/min,2B_Internal_Air_Temperature_degC,2B_Internal_Air_Pressure_hpa,2B405_NO_Concentration_ppbv,2B405_NO2_Concentration_ppbv,2B405_NOX_Concentration_ppbv,2B405_Internal_Air_Temperature_degC,2B405_Internal_Air_Pressure_hpa,2B405_Air_Flow_Rate_L/min,2B405_Cell_O3_Flow_Rate_mL/min,PM2.5_Data_Flagged_binary,Ozone_Data_Flagged_binary,GPS_Data_Flagged_binary,Time_Tuple,Date,Year,Month,Day_of_Year,Day_of_Month,Minute,Hour,Transit_ID,AQI,PM2.5_Category,Meso_West_Category
2023-09-05 14:31:05,40.761765,-111.909737,1290.0,0.0,170.6,1.0,13.78,15.2,19.11,44.63,6.0,2.0,14.0,43.0,876.6,0.0,-9999.0,1.7,15.5,835.7,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=5, tm_hour=14, tm_min=31, tm_sec=5, tm_wday=1, tm_yday=248, tm_isdst=-1)",2023-09-05,2023,9,248,5,31,14,BUS01,Good,< 12.00,6.00 - 8.00
2023-09-05 14:32:45,40.762295,-111.91053,1295.5,0.72,3.2,1.0,13.77,15.3,19.15,44.57,15.0,2.0,14.22,51.0,876.5,0.0,-9999.0,1.72,16.7,835.7,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=5, tm_hour=14, tm_min=32, tm_sec=45, tm_wday=1, tm_yday=248, tm_isdst=-1)",2023-09-05,2023,9,248,5,32,14,BUS01,Moderate,12.00 - 35.50,12.00 - 20.00
2023-09-05 14:34:25,40.762821,-111.910645,1293.9,0.0,331.8,1.0,13.77,15.41,19.61,61.7,4.0,2.0,14.28,60.0,876.5,0.0,-9999.0,1.71,17.7,835.3,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=5, tm_hour=14, tm_min=34, tm_sec=25, tm_wday=1, tm_yday=248, tm_isdst=-1)",2023-09-05,2023,9,248,5,34,14,BUS01,Good,< 12.00,4.00 - 6.00
2023-09-05 14:36:05,40.762848,-111.9105,1298.8,0.0,50.8,1.0,13.74,15.55,19.94,61.13,5.0,2.0,14.5,65.0,876.5,0.0,-9999.0,1.73,18.7,835.1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=5, tm_hour=14, tm_min=36, tm_sec=5, tm_wday=1, tm_yday=248, tm_isdst=-1)",2023-09-05,2023,9,248,5,36,14,BUS01,Good,< 12.00,4.00 - 6.00
2023-09-05 14:37:45,40.762825,-111.91069,1299.9,0.0,242.7,1.0,13.74,15.71,20.2,59.86,4.0,2.0,14.72,67.0,876.5,0.0,-9999.0,1.72,19.6,835.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=5, tm_hour=14, tm_min=37, tm_sec=45, tm_wday=1, tm_yday=248, tm_isdst=-1)",2023-09-05,2023,9,248,5,37,14,BUS01,Good,< 12.00,4.00 - 6.00
2023-09-05 14:39:25,40.762909,-111.910744,1300.3,0.0,242.7,1.0,13.74,15.89,20.36,59.46,4.0,2.0,14.89,69.0,876.3,0.0,-9999.0,1.72,20.4,834.8,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=5, tm_hour=14, tm_min=39, tm_sec=25, tm_wday=1, tm_yday=248, tm_isdst=-1)",2023-09-05,2023,9,248,5,39,14,BUS01,Good,< 12.00,4.00 - 6.00
2023-09-05 14:41:05,40.762909,-111.910629,1300.6,0.0,242.7,1.0,13.74,16.08,20.5,58.88,4.0,2.0,15.11,69.0,876.3,0.0,-2.3,1.74,21.2,834.8,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=5, tm_hour=14, tm_min=41, tm_sec=5, tm_wday=1, tm_yday=248, tm_isdst=-1)",2023-09-05,2023,9,248,5,41,14,BUS01,Good,< 12.00,4.00 - 6.00
2023-09-05 14:42:45,40.762936,-111.910767,1300.8,0.0,242.7,1.0,13.74,16.29,20.58,58.39,3.0,2.0,15.39,69.0,876.3,0.0,1.2,1.72,21.9,834.8,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=5, tm_hour=14, tm_min=42, tm_sec=45, tm_wday=1, tm_yday=248, tm_isdst=-1)",2023-09-05,2023,9,248,5,42,14,BUS01,Good,< 12.00,2.00 - 4.00
2023-09-05 14:44:25,40.762905,-111.910736,1300.7,0.0,242.7,1.0,13.22,16.5,20.68,57.74,3.0,2.0,15.61,68.0,876.3,0.0,2.4,1.74,22.6,834.9,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=5, tm_hour=14, tm_min=44, tm_sec=25, tm_wday=1, tm_yday=248, tm_isdst=-1)",2023-09-05,2023,9,248,5,44,14,BUS01,Good,< 12.00,2.00 - 4.00
2023-09-05 14:46:05,40.762814,-111.910675,1302.0,0.0,146.4,1.0,13.74,16.72,20.76,58.07,2.0,2.0,15.89,67.0,876.3,0.0,5.3,1.73,23.2,834.9,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=5, tm_hour=14, tm_min=46, tm_sec=5, tm_wday=1, tm_yday=248, tm_isdst=-1)",2023-09-05,2023,9,248,5,46,14,BUS01,Good,< 12.00,2.00 - 4.00
